run,gtk_app_created,activate_entered,magpie_done,window_done,ipc_all_done,idle_posted,idle_dispatched,initial_readings_entered,perf_page,apps_page,services_page,total,status
1,1.2,194.7,194.8,336.4,761.2,956.2,960.1,960.1,67.7,632.8,0.0,1678.9,ok
2,1.0,175.0,175.1,383.6,759.8,935.2,935.2,935.2,60.0,615.7,0.0,1628.0,ok
3,1.0,171.9,172.0,339.5,759.4,931.8,931.8,931.8,57.6,599.0,0.0,1606.0,ok
4,1.0,169.5,169.6,334.7,765.4,935.2,935.2,935.2,63.1,628.7,0.0,1644.7,ok
5,1.3,184.6,184.7,352.8,766.9,951.9,952.9,952.9,74.2,593.6,0.0,1637.7,ok
6,1.1,187.8,187.9,393.4,759.0,947.1,959.1,959.1,62.5,591.7,0.0,1630.7,ok
7,1.2,178.2,178.3,344.7,760.5,939.1,950.8,950.8,64.1,620.5,0.0,1652.8,ok
8,1.1,175.7,175.8,314.6,766.4,942.4,942.4,942.5,67.7,644.7,0.0,1671.6,ok
9,1.0,175.0,175.1,303.0,760.2,935.5,937.5,937.6,83.9,593.0,0.0,1631.5,ok
10,1.0,181.5,181.5,390.1,769.6,951.4,972.3,972.4,77.7,615.2,0.0,1684.2,ok
11,1.0,169.5,169.6,359.9,761.0,930.8,931.3,931.3,77.4,596.6,0.1,1625.2,ok
12,1.2,185.3,185.4,349.5,762.2,947.8,950.2,950.2,63.4,595.2,0.1,1626.5,ok
13,1.0,173.9,174.0,332.2,758.7,932.9,932.9,932.9,65.8,664.7,0.0,1683.5,ok
14,1.0,186.8,186.9,352.9,759.5,946.7,1035.4,1035.4,67.3,516.4,0.0,1644.3,ok
15,1.0,182.0,182.1,328.7,762.1,944.4,948.9,948.9,67.0,596.9,0.0,1632.9,ok
16,1.0,177.3,177.4,315.9,761.0,938.7,938.7,938.7,73.8,602.1,0.1,1631.8,ok
17,1.1,176.2,176.2,382.3,758.6,935.1,935.1,935.1,63.5,577.4,0.1,1598.4,ok
18,1.2,195.3,195.4,367.5,762.2,957.9,967.8,967.9,93.5,644.6,0.1,1723.9,ok
19,1.6,214.2,214.3,439.4,762.5,977.0,977.1,977.1,96.2,632.9,0.0,1723.9,ok
20,1.1,183.3,183.4,320.1,758.4,942.0,942.0,942.0,88.4,624.6,0.0,1672.3,ok
21,1.1,181.9,182.0,377.2,769.1,951.2,951.3,951.3,60.6,617.1,0.0,1647.0,ok
22,1.7,175.9,176.0,347.9,760.6,936.9,979.7,979.8,67.1,560.5,0.0,1625.6,ok
23,1.0,172.5,172.5,364.9,759.7,932.4,948.0,948.0,77.3,554.0,0.0,1597.8,ok
24,1.2,178.8,178.9,391.4,762.0,941.1,941.1,941.2,82.5,546.8,0.0,1588.1,ok
25,1.0,172.1,172.2,304.4,759.6,932.0,932.1,932.1,65.5,592.9,0.0,1608.7,ok
26,1.1,168.4,168.5,304.5,761.2,930.0,945.0,945.0,96.2,672.0,0.0,1730.8,ok
27,1.1,185.7,185.8,323.2,767.9,953.9,955.7,955.8,67.5,629.8,0.0,1670.0,ok
28,1.7,178.2,178.3,309.2,759.1,937.6,937.6,937.7,69.0,615.4,0.0,1639.3,ok
29,1.6,186.3,186.4,355.5,760.0,946.6,959.9,959.9,61.3,615.1,0.1,1662.3,ok
30,1.0,177.1,177.2,355.3,760.4,937.7,955.0,955.0,84.1,561.2,0.0,1618.9,ok
31,1.1,166.4,166.5,314.4,759.3,926.0,936.0,936.1,72.9,589.8,0.0,1616.4,ok
32,1.3,166.8,166.8,286.6,762.1,929.1,929.1,929.2,55.7,634.0,0.0,1635.6,ok
33,1.7,164.3,164.3,281.2,759.9,924.5,924.5,924.5,72.6,577.8,0.1,1602.0,ok
34,1.0,184.7,184.7,309.4,758.9,943.8,943.8,943.9,62.1,612.1,0.0,1639.6,ok
35,1.0,207.8,207.9,370.3,761.8,969.9,985.0,985.1,61.5,670.6,0.0,1734.3,ok
36,1.2,172.1,172.2,332.4,767.5,940.0,940.0,940.1,71.6,738.7,0.0,1769.9,ok
37,1.4,198.9,199.0,426.7,765.4,964.5,964.5,964.5,96.0,232.4,0.0,1320.0,ok
38,1.3,195.4,195.5,403.2,767.9,963.6,1035.2,1035.3,73.7,650.0,0.0,1777.5,ok
39,1.2,182.8,182.9,340.5,759.2,942.4,942.4,942.5,72.2,674.5,0.0,1710.6,ok
40,1.2,177.0,177.0,318.5,759.1,936.3,950.8,950.8,75.5,679.2,0.1,1731.3,ok
41,1.1,185.4,185.4,318.2,761.9,947.6,947.6,947.6,55.9,671.9,0.1,1694.5,ok
42,1.2,188.4,188.5,321.7,759.3,948.1,990.3,990.3,62.0,654.3,0.0,1726.3,ok
43,1.1,173.3,173.3,314.8,759.0,932.5,932.5,932.5,78.0,642.2,0.1,1671.5,ok
44,1.3,185.7,185.8,348.5,758.9,944.9,1014.0,1014.0,77.5,632.6,0.1,1743.5,ok
45,1.2,195.2,195.3,375.4,759.2,954.8,982.1,982.1,77.3,669.4,0.0,1749.2,ok
46,1.8,192.0,192.1,378.1,758.9,951.3,951.3,951.3,69.4,677.6,0.0,1716.5,ok
47,1.2,188.1,188.2,359.5,761.0,949.4,973.8,973.8,64.6,639.5,0.0,1697.5,ok
48,1.2,179.5,179.6,315.8,759.6,939.5,948.5,948.6,75.1,606.5,0.0,1648.8,ok
49,1.1,179.9,180.0,356.4,760.1,940.3,959.3,959.3,63.6,700.6,0.0,1741.9,ok
50,1.2,168.4,168.5,335.0,761.6,930.4,943.0,943.0,59.4,645.3,0.0,1667.0,ok
