run,gtk_app_created,activate_entered,magpie_done,window_done,ipc_all_done,idle_posted,idle_dispatched,initial_readings_entered,perf_page,apps_page,services_page,total,status
1,1.3,199.8,199.8,389.1,672.5,872.4,878.7,878.7,68.9,198.7,0.0,1163.1,ok
2,1.2,186.2,186.3,287.9,632.7,819.1,819.1,819.1,47.4,170.0,0.0,1052.4,ok
3,1.4,172.5,172.5,273.1,634.2,806.9,806.9,807.0,46.8,162.2,0.0,1033.7,ok
4,1.1,181.3,181.3,275.8,634.1,815.6,2580.6,2580.7,61.7,161.1,0.0,2819.5,ok
5,1.0,187.1,187.2,289.5,634.6,821.9,832.2,832.2,49.5,168.5,0.0,1066.7,ok
6,1.0,189.4,189.5,286.8,672.2,861.8,861.9,861.9,42.5,160.7,0.0,1080.4,ok
7,1.1,180.8,180.9,276.4,594.5,775.6,775.6,775.6,49.7,182.8,0.0,1024.2,ok
8,1.0,167.6,167.7,272.3,674.3,842.1,846.5,846.5,49.6,159.8,0.0,1070.2,ok
9,1.2,172.5,172.5,271.7,593.0,765.7,766.0,766.0,59.9,194.7,0.0,1037.8,ok
10,1.0,176.9,177.0,268.7,632.4,809.5,NA,NA,NA,NA,NA,,timeout
11,1.1,173.4,173.5,272.8,674.0,847.7,847.7,847.7,51.9,181.7,0.0,1097.9,ok
12,1.0,180.2,180.2,267.2,593.6,773.9,773.9,773.9,40.2,214.2,0.0,1044.5,ok
13,1.1,190.6,190.7,296.5,633.1,823.9,828.8,828.8,62.1,180.7,0.0,1087.8,ok
14,1.5,176.3,176.4,269.9,632.4,809.0,815.2,815.2,49.0,186.3,0.0,1069.6,ok
15,1.1,172.2,172.3,432.9,672.8,845.2,845.6,845.7,48.5,163.6,0.0,1072.8,ok
16,1.4,176.3,176.4,265.9,637.1,813.7,816.5,816.5,42.3,174.1,0.0,1048.9,ok
17,1.1,172.1,172.2,291.0,673.9,846.3,847.1,847.1,51.5,161.9,0.0,1075.5,ok
18,1.1,166.6,166.7,258.9,636.1,803.0,803.0,803.0,43.5,169.1,0.0,1032.1,ok
19,1.0,167.6,167.7,264.9,678.5,846.3,852.7,852.7,57.6,160.1,0.0,1086.3,ok
20,1.1,180.4,180.5,283.0,593.1,773.7,773.7,773.7,46.8,164.6,0.0,1001.5,ok
21,1.0,169.7,169.8,263.8,632.4,802.4,802.4,802.4,62.1,196.6,0.0,1076.0,ok
22,1.3,194.7,194.7,308.6,674.2,869.1,869.1,869.1,53.0,191.1,0.1,1133.4,ok
23,1.0,178.2,178.3,270.2,672.0,850.4,850.4,850.4,57.7,158.1,0.0,1082.7,ok
24,3.3,183.8,183.9,286.1,673.2,857.2,860.4,860.4,47.7,155.4,0.0,1078.4,ok
25,1.2,171.3,171.4,270.3,592.1,763.6,763.7,763.7,60.1,173.7,0.0,1014.4,ok
26,1.0,185.7,185.8,291.2,633.1,819.0,NA,NA,NA,NA,NA,,timeout
27,1.3,185.3,185.4,474.1,757.6,943.2,953.6,953.6,57.6,176.8,0.0,1204.4,ok
28,1.4,178.2,178.3,272.4,637.2,815.6,815.6,815.6,47.7,171.5,0.0,1051.9,ok
29,1.1,168.7,168.8,257.9,596.7,765.7,765.7,765.7,57.9,162.5,0.0,1002.4,ok
30,1.4,169.5,169.6,265.0,632.8,802.5,803.6,803.6,49.5,170.9,0.0,1040.1,ok
31,1.1,190.0,190.0,278.8,634.4,824.6,824.6,824.6,41.6,158.7,0.0,1040.8,ok
32,1.0,173.6,173.7,282.2,676.5,850.4,850.5,850.5,59.4,169.9,0.0,1096.3,ok
33,1.0,184.0,184.0,295.9,632.0,816.3,816.3,816.3,63.2,202.4,0.0,1097.3,ok
34,1.1,187.3,187.4,284.4,636.6,824.2,824.2,824.3,57.0,160.9,0.0,1064.5,ok
35,1.0,176.1,176.1,270.0,632.1,808.4,815.9,816.0,52.8,220.6,0.0,1106.5,ok
36,1.4,171.6,171.7,268.8,632.9,804.7,804.8,804.8,39.3,169.1,0.0,1030.0,ok
37,1.0,180.0,180.1,275.2,632.1,812.3,812.3,812.3,57.1,167.5,0.0,1052.5,ok
38,1.1,179.6,179.7,274.2,595.1,774.9,774.9,775.0,55.9,178.8,0.0,1025.6,ok
39,1.0,175.5,175.6,280.8,672.3,848.0,848.1,848.1,44.5,175.7,0.0,1083.3,ok
40,1.2,168.4,168.4,255.8,632.2,800.8,800.8,800.8,46.6,172.9,0.0,1035.7,ok
41,1.1,183.5,183.6,284.5,632.6,816.4,820.0,820.0,61.1,179.0,0.0,1084.7,ok
42,1.1,189.8,189.8,287.3,632.2,822.2,822.2,822.2,51.6,169.7,0.0,1061.0,ok
43,1.0,187.9,188.0,289.3,632.1,820.2,828.0,828.0,56.6,172.6,0.0,1074.1,ok
44,1.1,190.0,190.1,295.6,714.1,904.4,908.3,908.3,47.8,172.1,0.0,1145.0,ok
45,1.1,192.4,192.5,304.4,713.2,905.9,905.9,905.9,49.4,183.1,0.0,1155.3,ok
46,1.2,200.1,200.2,300.9,633.3,833.6,838.4,838.5,52.2,188.5,0.0,1098.3,ok
47,1.2,204.3,204.4,318.7,719.5,924.1,924.6,924.6,68.5,180.9,0.0,1192.0,ok
48,1.2,187.1,187.2,348.6,714.9,902.2,907.6,907.7,55.2,185.8,0.0,1165.8,ok
49,1.1,188.5,188.6,291.8,632.6,821.4,821.4,821.4,54.3,168.0,0.0,1065.0,ok
50,1.1,183.9,184.0,295.1,672.4,856.5,864.7,864.7,51.4,192.3,0.0,1124.9,ok
